,img_path,gt_path,split
0,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000101_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000101_000019_gtFine_labelTrainIds.png,train
1,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000053_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000053_000019_gtFine_labelTrainIds.png,train
2,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000044_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000044_000019_gtFine_labelTrainIds.png,train
3,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000037_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000037_000019_gtFine_labelTrainIds.png,train
4,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000031_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000031_000019_gtFine_labelTrainIds.png,train
5,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000112_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000112_000019_gtFine_labelTrainIds.png,train
6,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000083_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000083_000019_gtFine_labelTrainIds.png,train
7,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000018_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000018_000019_gtFine_labelTrainIds.png,train
8,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000164_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000164_000019_gtFine_labelTrainIds.png,train
9,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000081_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000081_000019_gtFine_labelTrainIds.png,train
10,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000171_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000171_000019_gtFine_labelTrainIds.png,train
11,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000159_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000159_000019_gtFine_labelTrainIds.png,train
12,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000020_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000020_000019_gtFine_labelTrainIds.png,train
13,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000039_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000039_000019_gtFine_labelTrainIds.png,train
14,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000172_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000172_000019_gtFine_labelTrainIds.png,train
15,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000116_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000116_000019_gtFine_labelTrainIds.png,train
16,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000143_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000143_000019_gtFine_labelTrainIds.png,train
17,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000095_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000095_000019_gtFine_labelTrainIds.png,train
18,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000104_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000104_000019_gtFine_labelTrainIds.png,train
19,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000061_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000061_000019_gtFine_labelTrainIds.png,train
20,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000110_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000110_000019_gtFine_labelTrainIds.png,train
21,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000097_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000097_000019_gtFine_labelTrainIds.png,train
22,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000167_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000167_000019_gtFine_labelTrainIds.png,train
23,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000139_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000139_000019_gtFine_labelTrainIds.png,train
24,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000123_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000123_000019_gtFine_labelTrainIds.png,train
25,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000108_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000108_000019_gtFine_labelTrainIds.png,train
26,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000115_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000115_000019_gtFine_labelTrainIds.png,train
27,/home/aistudio/data/leftImg8bit/train/aachen/aachen_000035_000019_leftImg8bit.png,/home/aistudio/data/gtFine/train/aachen/aachen_000035_000019_gtFine_labelTrainIds.png,train
